,name,initial_method,n_qubits,m_state,n_g2_initial,time_initial,n_g2_qiskit,time_qiskit,n_g2_bqskit_flow,time_bqskit_flow,n_g2_ours,time_ours
198,Random-Dense-Nonuniform,n_flow,5,16,30,0.0023515359789598733,30,0.021512915001949295,32,5.65097455799696,29,0.018042847979813814
199,Random-Dense-Nonuniform,n_flow,6,32,62,0.004443930985871702,62,0.040913280012318864,73,6.736951221013442,61,0.0743102649867069
200,Random-Dense-Nonuniform,n_flow,7,64,126,0.016303200012771413,126,0.09112296099192463,141,5.973714127991116,125,0.29051026701927185
201,Random-Dense-Nonuniform,n_flow,8,128,254,0.034189118014182895,254,0.20607079900219105,298,9.042745930986712,253,1.3210511440120172
202,Random-Dense-Nonuniform,n_flow,9,256,510,0.06655992200830951,510,0.5645483270054683,657,14.786701967008412,509,5.416389657999389
203,Random-Sparse-Uniform,n_flow,3,3,6,0.0008473769994452596,6,0.005762543005403131,5,3.313092857977608,2,0.001402730995323509
204,Random-Sparse-Uniform,n_flow,4,4,14,0.0013329210050869733,14,0.009310406021540985,18,4.295289492991287,3,0.002466930978698656
205,Random-Sparse-Uniform,m_flow,5,5,8,0.006922494008904323,8,0.07227585601503961,9,2.3223019519937225,5,0.001776457007508725
206,Random-Sparse-Uniform,m_flow,6,6,15,0.026754640013678,13,0.021816571010276675,12,1.5277789710089564,12,0.0028455560095608234
207,Random-Sparse-Uniform,m_flow,7,7,25,0.08138963597593829,24,0.028930300002684817,26,1.9219778109982144,21,0.0047485789982602
208,Random-Sparse-Uniform,m_flow,8,8,29,0.13159863802138716,24,0.0386497360013891,26,2.218102685001213,23,0.006022309011314064
209,Random-Sparse-Uniform,m_flow,9,9,36,0.4165686390188057,36,0.0147919470036868,35,2.356675737974001,32,0.0072528359887655824
210,Random-Sparse-Nonuniform,n_flow,3,3,6,0.000691706984071061,6,0.005865647020982578,5,3.1144711099914275,2,0.0010522090015001595
211,Random-Sparse-Nonuniform,n_flow,4,4,14,0.0013009009999223053,14,0.008979528996860608,13,4.740526457986562,6,0.0030507869960274547
212,Random-Sparse-Nonuniform,m_flow,5,5,9,0.003634084016084671,9,0.007168960990384221,9,2.054267047002213,6,0.0018301660020370036
213,Random-Sparse-Nonuniform,m_flow,6,6,14,0.01622985300491564,13,0.035683519003214315,14,2.3873011719842907,10,0.0026156889798585325
214,Random-Sparse-Nonuniform,m_flow,7,7,22,0.06796415100689046,22,0.011204689973965287,21,1.7431425099784974,18,0.003862828016281128
215,Random-Sparse-Nonuniform,m_flow,8,8,22,0.10800626999116503,22,0.012553572014439851,22,1.406436361023225,16,0.0046609630226157606
216,Random-Sparse-Nonuniform,m_flow,9,9,35,0.5009348539751954,35,0.016455793986096978,34,2.1411480529932305,31,0.007079003000399098
217,Random-Dense-Uniform,n_flow,3,4,6,0.0008256270084530115,6,0.00547193200327456,6,4.6194446419831365,3,0.0015894980169832706
218,Random-Dense-Uniform,n_flow,4,8,14,0.001336378016276285,12,0.008297340013086796,14,5.76849545299774,10,0.004084290005266666
219,Random-Dense-Uniform,n_flow,5,16,30,0.00232053900253959,30,0.01729784201597795,31,5.342592141008936,29,0.018419658998027444
220,Random-Dense-Uniform,n_flow,6,32,62,0.004239458008669317,62,0.034651035006390885,79,6.52561046500341,61,0.07456726301461458
221,Random-Dense-Uniform,n_flow,7,64,126,0.015887326997471973,126,0.08319313198444434,164,7.269456405978417,125,0.302946746989619
222,Random-Dense-Uniform,n_flow,8,128,254,0.04087646398693323,254,0.25957497901981696,309,9.748991525004385,253,1.2277044919901527
