cx,time,num_qubits,cardinality,method
448,0.04071557099996426,9,$m = 2^{n-1}$,ours
1022,0.051724371000091196,10,$m = 2^{n-1}$,n-flow
912,0.0786989039988839,10,$m = 2^{n-1}$,ours
2046,0.05987510900013149,11,$m = 2^{n-1}$,n-flow
1922,0.14724362899869448,11,$m = 2^{n-1}$,ours
4094,0.07751786300104868,12,$m = 2^{n-1}$,n-flow
3842,0.30274431699945126,12,$m = 2^{n-1}$,ours
8190,0.12176265299967781,13,$m = 2^{n-1}$,n-flow
7714,0.6025363589997141,13,$m = 2^{n-1}$,ours
16382,0.3066420110008039,14,$m = 2^{n-1}$,n-flow
15878,1.246027161998427,14,$m = 2^{n-1}$,ours
32766,0.8777438970009825,15,$m = 2^{n-1}$,n-flow
31802,2.6800046719999955,15,$m = 2^{n-1}$,ours
65534,2.980645239998921,16,$m = 2^{n-1}$,n-flow
63702,6.089567901999544,16,$m = 2^{n-1}$,ours
131070,10.920961902998897,17,$m = 2^{n-1}$,n-flow
128672,14.988752577000923,17,$m = 2^{n-1}$,ours
262142,39.800511921999714,18,$m = 2^{n-1}$,n-flow
260558,41.424982491000264,18,$m = 2^{n-1}$,ours
524286,143.5503565279996,19,$m = 2^{n-1}$,n-flow
523924,131.6126621479998,19,$m = 2^{n-1}$,ours
1048574,559.4796550080009,20,$m = 2^{n-1}$,n-flow
1047646,465.5738213479999,20,$m = 2^{n-1}$,ours
6,0.04917387600107759,3,$m = 2^{n-1}$,n-flow
5,0.04579312199894048,3,$m = 2^{n-1}$,ours
14,0.047316594998846995,4,$m = 2^{n-1}$,n-flow
9,40.52530931099864,4,$m = 2^{n-1}$,ours
30,0.04654642600144143,5,$m = 2^{n-1}$,n-flow
30,0.10551224000118964,5,$m = 2^{n-1}$,ours
62,0.04936839299989515,6,$m = 2^{n-1}$,n-flow
56,0.006061256000975845,6,$m = 2^{n-1}$,ours
126,0.047314538998762146,7,$m = 2^{n-1}$,n-flow
96,0.012393744000291917,7,$m = 2^{n-1}$,ours
254,0.04748523800117255,8,$m = 2^{n-1}$,n-flow
224,0.02216045800014399,8,$m = 2^{n-1}$,ours
510,0.047580591000951244,9,$m = 2^{n-1}$,n-flow
450,0.04479198599983647,9,$m = 2^{n-1}$,ours
1022,0.04871626300155185,10,$m = 2^{n-1}$,n-flow
912,0.0772515780008689,10,$m = 2^{n-1}$,ours
2046,0.05755599300027825,11,$m = 2^{n-1}$,n-flow
1924,0.14861564499915403,11,$m = 2^{n-1}$,ours
4094,0.07635637199928169,12,$m = 2^{n-1}$,n-flow
3844,0.304702785999325,12,$m = 2^{n-1}$,ours
8190,0.12494104399956996,13,$m = 2^{n-1}$,n-flow
7716,0.6006031529996108,13,$m = 2^{n-1}$,ours
16382,0.3092965109990473,14,$m = 2^{n-1}$,n-flow
15624,1.240536774001157,14,$m = 2^{n-1}$,ours
32766,0.8945166819994483,15,$m = 2^{n-1}$,n-flow
31798,2.6473545049993845,15,$m = 2^{n-1}$,ours
65534,2.933975890999136,16,$m = 2^{n-1}$,n-flow
63568,6.1329673059990455,16,$m = 2^{n-1}$,ours
131070,10.736693865999769,17,$m = 2^{n-1}$,n-flow
128356,15.028656985999987,17,$m = 2^{n-1}$,ours
262142,40.47195255200131,18,$m = 2^{n-1}$,n-flow
259848,41.5145475620011,18,$m = 2^{n-1}$,ours
524286,145.70278234000034,19,$m = 2^{n-1}$,n-flow
523916,131.66245625699958,19,$m = 2^{n-1}$,ours
1048574,558.4223572210012,20,$m = 2^{n-1}$,n-flow
1047954,466.77287796400014,20,$m = 2^{n-1}$,ours
6,0.04936990900023375,3,$m = 2^{n-1}$,n-flow
4,0.01966984600039723,3,$m = 2^{n-1}$,ours
14,0.044890787999975146,4,$m = 2^{n-1}$,n-flow
10,42.64569078800014,4,$m = 2^{n-1}$,ours
30,0.04953582099915366,5,$m = 2^{n-1}$,n-flow
30,0.107390982000652,5,$m = 2^{n-1}$,ours
62,0.043872913000086555,6,$m = 2^{n-1}$,n-flow
56,0.006230782999409712,6,$m = 2^{n-1}$,ours
126,0.0461265710000589,7,$m = 2^{n-1}$,n-flow
112,0.012381794000248192,7,$m = 2^{n-1}$,ours
254,0.04627597000035166,8,$m = 2^{n-1}$,n-flow
228,0.02287412400073663,8,$m = 2^{n-1}$,ours
510,0.048454946001584176,9,$m = 2^{n-1}$,n-flow
480,0.039043288999891956,9,$m = 2^{n-1}$,ours
1022,0.048785024000608246,10,$m = 2^{n-1}$,n-flow
900,0.07768483500149159,10,$m = 2^{n-1}$,ours
2046,0.057958430999860866,11,$m = 2^{n-1}$,n-flow
1872,0.15146955799900752,11,$m = 2^{n-1}$,ours
4094,0.07774200099993323,12,$m = 2^{n-1}$,n-flow
3876,0.29348503800065373,12,$m = 2^{n-1}$,ours
8190,0.12331591000111075,13,$m = 2^{n-1}$,n-flow
7696,0.597944135999569,13,$m = 2^{n-1}$,ours
16382,0.29931570400003693,14,$m = 2^{n-1}$,n-flow
15628,1.2220763909990637,14,$m = 2^{n-1}$,ours
32766,0.8735689099994488,15,$m = 2^{n-1}$,n-flow
