py_time,c_time,py_cnot,c_cnot,speedup
0.049062344995036256,0.043254513999272604,5,5,1.1342710958643836
1.1503108619945124,0.06039666600554483,7,7,19.045933129635102
0.06109441399894422,0.05743178800184978,6,6,1.0637734976486624
0.016264914003841113,0.02439847099594772,5,5,0.6666366104065502
0.642017575999489,0.03528913500485942,6,6,18.193066390294955
0.046535023997421376,0.060119531000964344,6,6,0.7740417003032664
0.04085218600084772,0.05687536299956264,6,6,0.7182756090921454
1.099750061002851,0.05974380800034851,7,7,18.40776639139634
1.0973757300016587,0.04141279099712847,7,7,26.49847314270004
0.015568526003335137,0.043911380002100486,5,5,0.354544220714321
