cx,time,num_qubits,cardinality,method
4.0,0.04884546999983286,4,$m = n$,sota
4.0,0.018104929999935848,4,$m = n$,ours
8.0,0.010897866000050271,4,$m = n$,m-flow
135.0,0.0430662669996309,5,$m = n$,sota
9.0,2.866556067999227,5,$m = n$,ours
13.0,0.013129433999893081,5,$m = n$,m-flow
51.0,0.04098874800001795,6,$m = n$,sota
9.0,11.906363172000056,6,$m = n$,ours
14.0,0.01586629599933076,6,$m = n$,m-flow
357.0,0.045373537999694236,7,$m = n$,sota
18.0,0.3356552080003894,7,$m = n$,ours
25.0,0.018581817999802297,7,$m = n$,m-flow
341.0,0.044299173000581504,8,$m = n$,sota
27.0,2.921221894000155,8,$m = n$,ours
39.0,0.026365306000116107,8,$m = n$,m-flow
456.0,0.04485550199933641,9,$m = n$,sota
36.0,0.4595990569996502,9,$m = n$,ours
70.0,0.03809317600007489,9,$m = n$,m-flow
585.0,0.04768906400022388,10,$m = n$,sota
45.0,0.362938877000488,10,$m = n$,ours
68.0,0.03641801300000225,10,$m = n$,m-flow
701.0,0.04605569100021967,11,$m = n$,sota
44.0,2.9520638189997044,11,$m = n$,ours
78.0,0.03900472599980276,11,$m = n$,m-flow
561.0,0.04621638000025996,12,$m = n$,sota
72.0,0.3738735850001831,12,$m = n$,ours
96.0,0.04628446699916822,12,$m = n$,m-flow
930.0,0.046200660999602405,13,$m = n$,sota
76.0,0.010197276000326383,13,$m = n$,ours
123.0,0.057196277999537415,13,$m = n$,m-flow
983.0,0.07159355000021606,14,$m = n$,sota
79.0,0.4684914370000115,14,$m = n$,ours
120.0,0.058632833999581635,14,$m = n$,m-flow
1052.0,0.07798354400074459,15,$m = n$,sota
114.0,0.012526962999800162,15,$m = n$,ours
142.0,0.06763830300042173,15,$m = n$,m-flow
1236.0,0.06915148200005206,16,$m = n$,sota
124.0,0.01390783700026077,16,$m = n$,ours
183.0,0.07765597399975377,16,$m = n$,m-flow
1242.0,0.07710783099992113,17,$m = n$,sota
149.0,0.014781523999772617,17,$m = n$,ours
205.0,0.08566021400019963,17,$m = n$,m-flow
1214.0,0.08959194399994885,18,$m = n$,sota
146.0,0.016726648999792815,18,$m = n$,ours
202.0,0.10222005299965531,18,$m = n$,m-flow
1362.0,0.09940864300006069,19,$m = n$,sota
180.0,0.018735765000201354,19,$m = n$,ours
231.0,0.12270522600010736,19,$m = n$,m-flow
1559.0,0.11467207100031374,20,$m = n$,sota
194.0,0.01876975899995159,20,$m = n$,ours
258.0,0.15463607999936357,20,$m = n$,m-flow
10.0,0.04713657299998886,3,$m = n$,sota
2.0,0.0012755790003211587,3,$m = n$,ours
3.0,0.008039124000788433,3,$m = n$,m-flow
123.0,0.04490582299968082,4,$m = n$,sota
6.0,0.39166314900012367,4,$m = n$,ours
9.0,0.010698391000005358,4,$m = n$,m-flow
148.0,0.04520869100088021,5,$m = n$,sota
10.0,0.4502450760001011,5,$m = n$,ours
14.0,0.012955590000274242,5,$m = n$,m-flow
147.0,0.0444646220003051,6,$m = n$,sota
13.0,0.03772712499994668,6,$m = n$,ours
16.0,0.01568536899958417,6,$m = n$,m-flow
251.0,0.04383895699993445,7,$m = n$,sota
26.0,0.005318282999724033,7,$m = n$,ours
31.0,0.019373555000129272,7,$m = n$,m-flow
309.0,0.04670635999991646,8,$m = n$,sota
26.0,0.4117360939999344,8,$m = n$,ours
32.0,0.021015545000409475,8,$m = n$,m-flow
479.0,0.04496923499937111,9,$m = n$,sota
43.0,0.006566289000147663,9,$m = n$,ours
58.0,0.0296402929998294,9,$m = n$,m-flow
541.0,0.04513506100011,10,$m = n$,sota
45.0,0.5124682149998989,10,$m = n$,ours
72.0,0.03603423799995653,10,$m = n$,m-flow
659.0,0.04700096200031112,11,$m = n$,sota
53.0,0.33711924699946394,11,$m = n$,ours
91.0,0.043830811000589165,11,$m = n$,m-flow
912.0,0.04562422699927993,12,$m = n$,sota
66.0,0.008614579999630223,12,$m = n$,ours
117.0,0.05122869000024366,12,$m = n$,m-flow
819.0,0.056784921000144095,13,$m = n$,sota
77.0,0.009785533000467694,13,$m = n$,ours
135.0,0.058906772999762325,13,$m = n$,m-flow
928.0,0.06623388600019098,14,$m = n$,sota
86.0,0.44099095599995053,14,$m = n$,ours
118.0,0.05269112999940262,14,$m = n$,m-flow
1031.0,0.07861914100067224,15,$m = n$,sota
115.0,0.011950844999773835,15,$m = n$,ours
135.0,0.06466359800015198,15,$m = n$,m-flow
1054.0,0.06251844899998105,16,$m = n$,sota
118.0,0.012627365999833273,16,$m = n$,ours
151.0,0.0661921370001437,16,$m = n$,m-flow
1358.0,0.07299986699945293,17,$m = n$,sota
144.0,0.014740403999894625,17,$m = n$,ours
207.0,0.0906555470000967,17,$m = n$,m-flow
1327.0,0.08293995199983328,18,$m = n$,sota
153.0,0.015229028000248945,18,$m = n$,ours
221.0,0.09832625099988945,18,$m = n$,m-flow
1452.0,0.09934682299990527,19,$m = n$,sota
164.0,0.017009677000714873,19,$m = n$,ours
259.0,0.1253556869996828,19,$m = n$,m-flow
1521.0,0.11298629499924573,20,$m = n$,sota
219.0,0.018756654999378952,20,$m = n$,ours
255.0,0.19746266000038304,20,$m = n$,m-flow
3.0,0.044352375000016764,3,$m = n$,sota
3.0,0.0017286620004597353,3,$m = n$,ours
4.0,0.008946236000156205,3,$m = n$,m-flow
20.0,0.04389584199998353,4,$m = n$,sota
6.0,0.3268094109998856,4,$m = n$,ours
10.0,0.010926384999947913,4,$m = n$,m-flow
89.0,0.044592312999157,5,$m = n$,sota
11.0,0.4514113240002189,5,$m = n$,ours
12.0,0.012814867999622948,5,$m = n$,m-flow
231.0,0.04335037800046848,6,$m = n$,sota
15.0,0.40577298999960476,6,$m = n$,ours
19.0,0.015867017999880773,6,$m = n$,m-flow
303.0,0.04538222500013944,7,$m = n$,sota
22.0,2.836354136999944,7,$m = n$,ours
38.0,0.0236906509999244,7,$m = n$,m-flow
388.0,0.045484202999432455,8,$m = n$,sota
28.0,0.006241555999622506,8,$m = n$,ours
44.0,0.029074205000142683,8,$m = n$,m-flow
466.0,0.04735519300083979,9,$m = n$,sota
37.0,0.45362550200025,9,$m = n$,ours
53.0,0.030036621000363084,9,$m = n$,m-flow
511.0,0.045687652999731654,10,$m = n$,sota
46.0,0.007129698000426288,10,$m = n$,ours
63.0,0.038307527999677404,10,$m = n$,m-flow
741.0,0.04769512599978043,11,$m = n$,sota
50.0,0.458728541999335,11,$m = n$,ours
75.0,0.03963874999953987,11,$m = n$,m-flow
656.0,0.046117825999317574,12,$m = n$,sota
70.0,0.006933552999726089,12,$m = n$,ours
102.0,0.04974187100015115,12,$m = n$,m-flow
775.0,0.04701836399999593,13,$m = n$,sota
73.0,0.4612988819999373,13,$m = n$,ours
108.0,0.05265266799960955,13,$m = n$,m-flow
886.0,0.07631713800037687,14,$m = n$,sota
72.0,2.9143221120002636,14,$m = n$,ours
87.0,0.04708892700000433,14,$m = n$,m-flow
1230.0,0.07463401200038788,15,$m = n$,sota
95.0,0.011482965000141121,15,$m = n$,ours
151.0,0.06616244899942103,15,$m = n$,m-flow
1305.0,0.06782696999925975,16,$m = n$,sota
122.0,0.01222670199967979,16,$m = n$,ours
176.0,0.07469002600009844,16,$m = n$,m-flow
1260.0,0.08326366599976609,17,$m = n$,sota
143.0,0.012463675000617513,17,$m = n$,ours
195.0,0.12621937799940497,17,$m = n$,m-flow
1277.0,0.08827245700013009,18,$m = n$,sota
159.0,0.01604565000070579,18,$m = n$,ours
232.0,0.10486731699984375,18,$m = n$,m-flow
1696.0,0.09373650899942731,19,$m = n$,sota
158.0,0.01704598500054999,19,$m = n$,ours
253.0,0.12142124500041973,19,$m = n$,m-flow
1509.0,0.10963963299946045,20,$m = n$,sota
200.0,0.01819601999977749,20,$m = n$,ours
252.0,0.1493120250006541,20,$m = n$,m-flow
,0.045888627999374876,3,$m = n$,sota
3.0,0.001279053999496682,3,$m = n$,ours
4.0,0.007913662000646582,3,$m = n$,m-flow
24.0,0.043846140999448835,4,$m = n$,sota
6.0,0.04297239200059266,4,$m = n$,ours
9.0,0.010824888000570354,4,$m = n$,m-flow
156.0,0.043753228000241506,5,$m = n$,sota
10.0,0.3553437680002389,5,$m = n$,ours
14.0,0.013213411999458913,5,$m = n$,m-flow
179.0,0.04103944899998169,6,$m = n$,sota
15.0,0.4527319839999109,6,$m = n$,ours
18.0,0.01611530100035452,6,$m = n$,m-flow
350.0,0.04376674200011621,7,$m = n$,sota
24.0,0.005294868999953906,7,$m = n$,ours
40.0,0.024711934000151814,7,$m = n$,m-flow
353.0,0.04098055000031309,8,$m = n$,sota
25.0,0.004451708000487997,8,$m = n$,ours
50.0,0.030869175000589166,8,$m = n$,m-flow
424.0,0.04690226700040512,9,$m = n$,sota
33.0,0.35332809100054874,9,$m = n$,ours
44.0,0.028409186000317277,9,$m = n$,m-flow
509.0,0.040524619999814604,10,$m = n$,sota
41.0,0.37435839299996587,10,$m = n$,ours
59.0,0.031693217000793084,10,$m = n$,m-flow
618.0,0.045106751000275835,11,$m = n$,sota
56.0,0.458355720000327,11,$m = n$,ours
90.0,0.043332172999726026,11,$m = n$,m-flow
848.0,0.04541205799978343,12,$m = n$,sota
65.0,0.4630585409995547,12,$m = n$,ours
99.0,0.04603544299970963,12,$m = n$,m-flow
975.0,0.05296073199951934,13,$m = n$,sota
74.0,0.010131997999451414,13,$m = n$,ours
112.0,0.055880042999888246,13,$m = n$,m-flow
905.0,0.06022408100034227,14,$m = n$,sota
90.0,0.011073230999500083,14,$m = n$,ours
140.0,0.06248953299927962,14,$m = n$,m-flow
1088.0,0.07166249999954744,15,$m = n$,sota
91.0,0.4660997999999381,15,$m = n$,ours
140.0,0.061743174999719486,15,$m = n$,m-flow
1218.0,0.07572580600026413,16,$m = n$,sota
126.0,0.01342356999975891,16,$m = n$,ours
169.0,0.13000363300034223,16,$m = n$,m-flow
1341.0,0.07175336000000243,17,$m = n$,sota
138.0,0.014245285000470176,17,$m = n$,ours
204.0,0.08614589799981331,17,$m = n$,m-flow
1474.0,0.0887372699999105,18,$m = n$,sota
137.0,0.015413850000186358,18,$m = n$,ours
184.0,0.09195880700008274,18,$m = n$,m-flow
1404.0,0.09674719099984941,19,$m = n$,sota
174.0,0.01734127600047941,19,$m = n$,ours
224.0,0.11590804800016485,19,$m = n$,m-flow
1554.0,0.10890372100038803,20,$m = n$,sota
198.0,0.018467094000698125,20,$m = n$,ours
272.0,0.15762088100018445,20,$m = n$,m-flow
2.0,0.047391489999426994,3,$m = n$,sota
2.0,0.0013255310004751664,3,$m = n$,ours
