,num_qubit,sparsity,baseline,ours,time
54,3,3,4,2,0.005977815999358427
55,3,3,2,2,0.005602273000476998
56,3,4,4,0,0.00471848199958913
57,3,4,16,5,0.01583664100144233
58,3,4,6,5,0.01374128299903532
59,3,4,4,4,0.01112469500003499
60,3,4,2,0,0.005468822999318945
61,3,4,12,5,0.015609396999934688
62,3,4,4,4,0.010762103000161005
63,3,4,6,1,0.005158256000868278
64,3,4,18,5,0.013431703999231104
65,3,4,11,4,0.009791622000193456
66,3,4,12,5,0.014896824999595992
67,3,4,4,1,0.005450896000184002
68,3,4,6,4,0.010449950001202524
69,3,4,13,2,0.0061798019996786024
70,3,4,4,5,0.015464048001376796
71,3,4,6,5,0.014871250999931362
72,3,4,18,5,0.01467535499978112
73,3,4,11,4,0.010992092000378761
74,3,4,19,4,0.011041755000405828
75,3,4,13,5,0.015535238999291323
76,3,4,17,4,0.015943893000439857
77,3,4,10,5,0.016600568998910603
78,3,4,21,5,0.019341369999892777
79,3,4,28,2,0.006878448000861681
80,3,4,20,5,0.015678026000387035
81,3,4,22,5,0.01761735499894712
82,3,4,10,6,0.01380775200050266
83,3,4,4,1,0.006128840999735985
84,3,4,11,5,0.01665829500052496
85,3,4,12,6,0.01689224199981254
86,3,4,5,5,0.01796481400015182
87,3,4,17,4,0.014057812999453745
88,3,4,10,5,0.016362623999157222
89,3,4,18,5,0.01578047800103377
90,3,4,12,5,0.016421688998889294
91,3,4,10,1,0.005680275999111473
92,3,4,4,6,0.01318762700066145
93,3,4,11,5,0.0149671050003235
94,3,4,12,5,0.017383067000992014
95,3,4,3,5,0.016437461999885272
96,3,4,17,4,0.014766833999601658
97,3,4,10,5,0.016749782000260893
98,3,4,18,5,0.017225472000063746
99,3,4,12,5,0.01723519199913426
100,3,4,16,5,0.015947698999298154
101,3,4,9,5,0.018437056000038865
102,3,4,17,5,0.01609742999971786
103,3,4,11,6,0.01831925499936915
104,3,5,12,6,0.023118421000617673
105,3,5,6,7,0.03336516200033657
106,3,5,6,4,0.016274575998977525
107,3,5,4,5,0.03249196899923845
108,3,5,23,4,0.016608760999588412
109,3,5,30,6,0.03582213600020623
110,3,5,31,5,0.028279418000238365
111,3,5,22,5,0.03112134200091532
112,3,5,24,5,0.03313046299990674
113,3,5,6,5,0.027591967998887412
114,3,5,13,5,0.02890849200048251
115,3,5,14,6,0.034075654000844224
116,3,5,5,4,0.014903891000358271
117,3,5,7,6,0.035054523999860976
118,3,5,19,4,0.014508172000205377
119,3,5,12,3,0.030171790000167675
120,3,5,20,5,0.033197955001014634
121,3,5,14,6,0.032845190000443836
122,3,5,24,5,0.028807266000512755
123,3,5,25,5,0.02751901400006318
124,3,5,26,6,0.03284217199870909
125,3,5,17,6,0.032212611000431934
126,3,5,19,4,0.014836526001090533
127,3,5,19,4,0.0167943300002662
128,3,5,12,5,0.030111690000921953
129,3,5,20,3,0.029322493999643484
130,3,5,14,5,0.03231870499985234
131,3,5,19,6,0.035451113999442896
132,3,5,12,5,0.02934749400083092
133,3,5,20,5,0.03179568900122831
134,3,5,14,6,0.03405931299857912
135,3,5,23,5,0.031896669999696314
136,3,5,17,5,0.031644641001548734
137,3,5,24,6,0.03626087600059691
138,3,5,25,5,0.038088761999460985
139,3,5,16,4,0.02546253400032583
140,3,5,18,4,0.023510513001383515
141,3,5,35,5,0.033361724999849685
142,3,5,28,6,0.038428816998930415
143,3,5,36,6,0.034924802001114585
144,3,5,30,4,0.03361487800066243
145,3,5,18,5,0.031473741999434424
146,3,5,11,4,0.025269659998230054
147,3,5,19,4,0.0338747030000377
148,3,5,13,5,0.03251002700017125
149,3,5,18,5,0.03255780600011349
150,3,5,11,6,0.03655098200033535
151,3,5,19,4,0.025411234999410226
152,3,5,13,5,0.03040556700034358
153,3,6,12,2,0.005889379999644007
154,3,6,6,2,0.006359147000694065
155,3,6,13,3,0.013677423001354327
156,3,6,14,3,0.013176909000321757
157,3,6,5,2,0.006030733000443433
158,3,6,7,2,0.006426423000448267
159,3,6,4,2,0.00613602900011756
160,3,6,30,3,0.013533823999750894
161,3,6,38,3,0.013005198999962886
162,3,6,32,4,0.02892630800124607
163,3,6,20,3,0.01321250399996643
164,3,6,2,2,0.006596389999685925
165,3,6,21,4,0.029385653000645107
166,3,6,15,3,0.012473463000787888
