,num_qubit,sparsity,baseline,ours,time
99,3,4,12,6,0.017645307998463977
100,3,4,6,5,0.014901415999702294
101,3,4,5,5,0.018282256000020425
102,3,4,16,5,0.015657226998882834
103,3,4,10,1,0.005733538999265875
104,3,4,16,5,0.0153732039998431
105,3,4,21,5,0.01745010599915986
106,3,4,9,5,0.01905129099941405
107,3,4,10,5,0.016554932999497396
108,3,4,4,4,0.011508125000545988
109,3,4,21,5,0.017151796999314683
110,3,4,4,1,0.00698451299831504
111,3,4,12,6,0.017804234001232544
112,3,4,10,5,0.016205841000555665
113,3,4,12,5,0.01624847399943974
114,3,4,6,5,0.014597510000385228
115,3,4,18,5,0.013849565000782604
116,3,4,13,5,0.016375527000491275
117,3,4,3,5,0.017056228000001283
118,3,4,19,4,0.010788561001390917
119,3,4,4,1,0.0054388999997172505
120,3,4,18,5,0.01373980900098104
121,3,4,21,5,0.01730650500030606
122,3,4,18,5,0.015456524000910576
123,3,4,5,5,0.0174396140009776
124,3,4,5,5,0.017711170999973547
125,3,4,12,5,0.01537974100028805
126,3,4,19,4,0.011377492000974598
127,3,4,20,5,0.01595188200008124
128,3,4,18,5,0.014692907001517597
129,3,4,4,4,0.011576272001548205
130,3,4,18,5,0.015134352001041407
131,3,4,13,2,0.0060607999985222705
132,3,4,3,5,0.016690665999703924
133,3,4,17,5,0.016139978000865085
134,3,4,10,5,0.01632033500027319
135,3,4,12,5,0.01751557399984449
136,3,4,17,5,0.01719223200052511
137,3,4,13,2,0.00691582600120455
138,3,4,20,5,0.017738671000188333
139,3,4,13,2,0.00683873100024357
140,3,4,4,6,0.014011586999913561
141,3,4,10,1,0.005915649000598933
142,3,4,4,6,0.013568038999437704
143,3,4,17,5,0.01630096900044009
144,3,4,10,6,0.013488730000972282
145,3,4,11,5,0.015946367000651662
146,3,4,12,5,0.01703481699951226
147,3,4,6,5,0.015488372000618256
148,3,4,17,5,0.016496295000251848
149,3,4,19,4,0.010909328000707319
150,3,4,12,5,0.015223909998894669
151,3,4,11,5,0.01614264299860224
152,3,4,11,5,0.01724693500000285
153,3,4,3,5,0.018523376998928143
154,3,4,12,5,0.016983863000859856
155,3,4,9,5,0.01874013999986346
156,3,4,28,2,0.006867146999866236
157,3,4,4,1,0.005891455000892165
158,3,5,14,6,0.0350973589993373
159,3,5,11,4,0.02544400099941413
160,3,5,17,5,0.03194007300044177
161,3,5,22,5,0.031052276000991696
162,3,5,5,4,0.015740953998829355
163,3,5,28,6,0.0381974789997912
164,3,5,4,5,0.03288860199972987
165,3,5,23,4,0.01772730900120223
166,3,5,4,5,0.03515457600042282
167,3,5,4,5,0.032322536999345175
168,3,5,12,5,0.03117558700068912
169,3,5,20,5,0.03133682199950272
170,3,5,17,6,0.03393230799883895
171,3,5,19,4,0.0167688609999459
172,3,5,20,3,0.02897036600006686
173,3,5,18,5,0.030011654998816084
174,3,5,19,4,0.016128496999954223
175,3,5,11,4,0.026243291998980567
176,3,5,22,5,0.031952895000358694
177,3,5,19,4,0.02525447700099903
178,3,5,20,5,0.03386628299995209
179,3,5,6,4,0.017588812001122278
180,3,5,11,4,0.02535289400111651
181,3,5,25,5,0.030618560000220896
182,3,5,19,4,0.015007117999630282
183,3,5,12,6,0.024680625001565204
184,3,5,14,5,0.03315893699982553
185,3,5,23,5,0.0326964029991359
186,3,5,13,5,0.03240752999954566
187,3,5,18,5,0.03418408000106865
188,3,5,25,5,0.0280652410001494
189,3,5,12,3,0.029710328000874142
190,3,5,13,5,0.03167287399992347
191,3,5,24,5,0.03296697900077561
192,3,5,6,7,0.03591392700036522
193,3,5,23,5,0.032210262999797123
194,3,5,25,5,0.02905581999948481
195,3,5,20,5,0.0344314009998925
196,3,5,12,5,0.0337079620003351
197,3,5,17,6,0.03458297300130653
198,3,5,20,5,0.03281134399912844
199,3,5,11,6,0.03664063799988071
200,3,5,6,5,0.029216887000075076
201,3,5,6,5,0.028583575000084238
202,3,5,14,6,0.03480198199940787
203,3,5,6,7,0.03493691900075646
204,3,5,18,5,0.03081264399952488
205,3,5,20,5,0.033670647000690224
206,3,5,35,5,0.034059106999848154
207,3,5,6,7,0.03507564400024421
208,3,5,19,4,0.01479197499975271
209,3,5,19,4,0.014844220000668429
210,3,5,18,5,0.03084766999927524
211,3,5,35,5,0.033217437001439976
